#           x           U_x           U_y           U_z             p
  2.43081e-18   3.25503e-17   8.39026e-16  -5.82816e-46      -16.8263
   0.00502513     0.0672901       1.73449  -1.20483e-30      -16.8698
    0.0100503       0.13458       3.46897  -2.40967e-30      -16.9134
    0.0150754      0.157309       4.38287  -1.76833e-30      -17.0148
    0.0201005      0.178632       5.27086   -1.0687e-30       -17.118
    0.0251256      0.200419       6.18362  -2.44774e-30      -17.3079
    0.0301508      0.222236         7.098  -3.96235e-30      -17.5033
    0.0351759      0.209719       7.57869  -1.83038e-30       -17.831
     0.040201      0.193731       8.01552   6.70351e-31       -18.172
    0.0452261      0.178422       8.47396   3.23269e-30      -18.6001
    0.0502513      0.163208       8.93542   5.80363e-30      -19.0402
    0.0552764      0.139564       9.24619   4.29504e-30      -19.6179
    0.0603015      0.114397       9.52974    2.0492e-30      -20.2205
    0.0653266     0.0903637       9.82909  -9.85526e-31      -20.9031
    0.0703518      0.066586        10.132  -4.19775e-30      -21.6037
    0.0753769     0.0404799       10.3233   -2.9042e-30      -22.4544
     0.080402     0.0137388       10.4843   -3.8181e-31      -23.3461
    0.0854271    -0.0112211       10.6565   1.27952e-30      -24.3127
    0.0904523    -0.0356033       10.8325   2.66158e-30      -25.3037
    0.0954774    -0.0556052       10.9088   1.54434e-30       -26.342
     0.100503    -0.0739414       10.9473  -5.23335e-31      -27.3984
     0.105528     -0.090801       10.9937  -1.03771e-30       -28.527
     0.110553     -0.107009       11.0438  -8.66809e-31      -29.6873
     0.115578      -0.12835       11.0351   1.71448e-32      -30.8401
     0.120603     -0.152296       10.9968   1.26311e-30      -31.9891
     0.125628     -0.175253       10.9634   6.45287e-30      -33.2027
     0.130653     -0.197636       10.9329   1.39326e-29      -34.4539
     0.135678     -0.216521        10.853   1.35061e-29      -35.6801
     0.140704     -0.233092       10.7405   7.85362e-30      -36.8899
     0.145729     -0.248576       10.6306   8.19644e-30      -38.1562
     0.150754     -0.263244       10.5227   1.30358e-29      -39.4649
     0.155779     -0.279364       10.3891   1.16567e-29      -40.6933
     0.160804     -0.296717       10.2335   4.99798e-30      -41.8535
     0.165829     -0.313007       10.0793   -2.7072e-31      -43.0623
     0.170854     -0.328276       9.92634  -4.20496e-30      -44.3179
     0.175879     -0.343911       9.76609  -4.16201e-30      -45.4976
     0.180905     -0.359943       9.59792   1.96602e-31       -46.595
      0.18593     -0.375183       9.43043   6.26462e-30       -47.733
     0.190955     -0.389452       9.26379   1.44305e-29      -48.9209
