#           y           U_x           U_y           U_z             p
  1.89651e-19  -4.81089e-17    1.7875e-18   1.64149e-47       -2.9439
   0.00502513      -1.27473      0.047363   4.34941e-31      -2.98195
    0.0100503      -2.54946     0.0947259   8.69882e-31      -3.02001
    0.0150754      -3.32542     0.0914176   4.89332e-31      -3.10172
    0.0201005      -4.08563      0.086509   8.30287e-32      -3.18482
    0.0251256      -4.87203     0.0826863  -3.36766e-31      -3.34047
    0.0301508      -5.66014     0.0789343  -7.57442e-31      -3.50086
    0.0351759      -6.22517     0.0601802  -3.65833e-31      -3.84717
     0.040201      -6.76764      0.039909   1.07916e-31      -4.21229
    0.0452261      -7.33838     0.0216795   1.18561e-31       -4.6465
    0.0502513      -7.91308    0.00373479   6.45869e-32      -5.09036
    0.0552764      -8.36967    -0.0176984   8.17871e-32      -5.81861
    0.0603015      -8.80492     -0.039762    1.1185e-31      -6.59824
    0.0653266      -9.26139    -0.0586898   8.59478e-31      -7.44095
    0.0703518      -9.72263    -0.0769119   1.76856e-30      -8.29784
    0.0753769       -9.9827    -0.0868999   1.33768e-30      -9.44255
     0.080402      -10.1879    -0.0946422   5.41365e-31      -10.6658
    0.0854271      -10.4068    -0.0982621  -2.23384e-31      -11.9533
    0.0904523      -10.6302     -0.100545  -9.77895e-31      -13.2618
    0.0954774       -10.723     -0.105088  -7.48845e-31      -14.6156
     0.100503      -10.7661     -0.110489  -1.45765e-31      -15.9867
     0.105528      -10.8177     -0.113082  -2.35817e-31       -17.423
     0.110553       -10.873     -0.114435  -6.31662e-31      -18.8881
     0.115578      -10.8745     -0.118366  -7.73301e-31       -20.346
     0.120603      -10.8486     -0.123605  -7.85881e-31      -21.8002
     0.125628      -10.8276     -0.127055  -2.83087e-30      -23.3119
     0.130653      -10.8094     -0.129465  -6.05598e-30       -24.857
     0.135678      -10.7419     -0.131738  -5.65495e-30      -26.3852
     0.140704      -10.6418      -0.13392  -2.85698e-30      -27.9021
     0.145729       -10.543     -0.134125  -4.07245e-30      -29.4707
     0.150754      -10.4452     -0.132846    -8.298e-30      -31.0779
     0.155779      -10.3073     -0.130245  -8.50727e-30       -32.586
     0.160804      -10.1354     -0.126521  -5.30651e-30        -34.01
     0.165829      -9.96299     -0.121205  -5.43153e-30      -35.4797
     0.170854      -9.79005     -0.114362   -8.7493e-30      -36.9933
     0.175879      -9.61239     -0.109668  -9.36473e-30       -38.392
     0.180905       -9.4296     -0.107304  -7.04781e-30      -39.6659
      0.18593      -9.24619     -0.104117  -6.68223e-30      -40.9769
     0.190955      -9.06203    -0.0999191  -8.71145e-30      -42.3333
      0.19598      -8.89428    -0.0981742  -8.22397e-30      -43.6091
     0.201005      -8.74932    -0.0998398  -4.23765e-30      -44.7725
      0.20603        -8.604     -0.101083  -1.16754e-30      -45.9651
     0.211055      -8.45811      -0.10166   4.55944e-31      -47.2036
      0.21608      -8.31937     -0.100875   1.30929e-30      -48.3929
     0.221106       -8.1935    -0.0976392   7.76377e-31      -49.4937
     0.226131      -8.06757    -0.0939817  -1.95407e-31      -50.6184
     0.231156      -7.94152    -0.0894549  -2.07237e-30      -51.7922
     0.236181      -7.81499    -0.0843906  -3.46919e-30       -52.923
     0.241206      -7.68733    -0.0780474  -3.72358e-30      -53.9515
     0.246231      -7.55969    -0.0713611   -5.4468e-30      -54.9995
     0.251256      -7.43211    -0.0637243  -1.12375e-29      -56.1015
     0.256281       -7.3046    -0.0565104  -1.44011e-29       -57.169
     0.261307      -7.17733    -0.0506749  -8.99791e-30      -58.1239
     0.266332      -7.05006     -0.044625  -3.40881e-30      -59.0936
     0.271357      -6.92284    -0.0377386   2.90529e-30      -60.1213
     0.276382      -6.79561    -0.0307668   7.38705e-30      -61.1242
     0.281407      -6.66841    -0.0233877   3.13826e-30      -62.0091
     0.286432       -6.5412    -0.0158713   4.66945e-33      -62.9044
     0.291457      -6.41395   -0.00753086    3.5623e-30      -63.8616
     0.296482      -6.28657    0.00085124    6.1877e-30      -64.8024
     0.301508       -6.1581    0.00956255   1.43997e-30      -65.6141
     0.306533      -6.02962     0.0183436  -3.76726e-30      -66.4317
     0.311558      -5.90105     0.0279096  -1.41438e-29      -67.3155
     0.316583       -5.7725     0.0374455  -2.35958e-29      -68.1919
     0.321608      -5.64445     0.0464223  -1.58498e-29      -68.9298
     0.326633      -5.51641     0.0554137  -8.07923e-30      -69.6692
     0.331658       -5.3882     0.0651013   8.73739e-31      -70.4787
     0.336683         -5.26     0.0747889    9.8267e-30      -71.2883
     0.341709      -5.13225     0.0846353   4.11628e-30      -71.9549
     0.346734      -5.00451     0.0944832  -1.74532e-30      -72.6199
     0.351759      -4.87657      0.104938  -3.17188e-30      -73.3533
     0.356784      -4.74862      0.115419  -4.40971e-30      -74.0896
     0.361809      -4.62105      0.125951  -2.22379e-30       -74.692
     0.366834      -4.49352      0.136486   2.25495e-31      -75.2842
     0.371859      -4.36576      0.147532    1.0024e-30        -75.94
     0.376884      -4.23798      0.158636   1.58927e-30       -76.603
      0.38191      -4.11066      0.169653   5.55547e-31      -77.1415
     0.386935       -3.9834      0.180656   -7.2603e-31      -77.6609
      0.39196       -3.8559      0.192081   3.59549e-30      -78.2395
     0.396985      -3.72836      0.203588   9.01029e-30      -78.8295
      0.40201      -3.60108        0.2152   8.27314e-30      -79.3043
     0.407035      -3.47386      0.226837    6.0564e-30      -79.7513
      0.41206      -3.34637      0.238821   3.82203e-30      -80.2529
     0.417085       -3.2188      0.250905   1.58255e-30      -80.7702
     0.422111      -3.09146      0.262986   8.02385e-31      -81.1813
     0.427136       -2.9642      0.275065   5.21977e-31       -81.556
     0.432161      -2.83662      0.287422    2.9768e-30      -81.9808
     0.437186      -2.70892      0.299891   6.52571e-30      -82.4256
     0.442211      -2.58139      0.312402   4.97216e-30      -82.7731
     0.447236      -2.45393      0.324932   1.05777e-30      -83.0756
     0.452261      -2.32612      0.337679   1.25331e-31      -83.4238
     0.457286      -2.19812      0.350541   7.77059e-31      -83.7962
     0.462312      -2.07025      0.363431    2.0159e-30      -84.0802
     0.467337      -1.94244      0.376338   3.61086e-30      -84.3106
     0.472362      -1.81425      0.389404    1.3915e-29      -84.5823
     0.477387      -1.68579       0.40258   3.02255e-29      -84.8826
     0.482412      -1.55742      0.415785   2.40715e-29      -85.1032
     0.487437      -1.42911      0.429014   3.54201e-31      -85.2616
     0.492462      -1.30039       0.44235  -2.11307e-29      -85.4571
     0.497487      -1.17129       0.45578  -4.06407e-29      -85.6854
     0.502513      -1.04225      0.469236  -3.74911e-29      -85.8429
     0.507538     -0.913256      0.482719  -1.16819e-29      -85.9295
     0.512563     -0.783817      0.496261   1.53309e-29       -86.049
     0.517588     -0.653871      0.509871   4.37043e-29      -86.2057
     0.522613     -0.523967      0.523509   4.73789e-29      -86.3003
     0.527638     -0.394116      0.537184   1.94621e-29      -86.3154
     0.532663     -0.263803      0.550876  -9.66953e-30      -86.3592
     0.537688      -0.13282      0.564594  -4.05626e-29      -86.4448
     0.542714   -0.00184699       0.57834  -4.94084e-29      -86.4769
     0.547739      0.129108      0.592134  -2.19058e-29      -86.4209
     0.552764      0.260522       0.60591    2.5137e-30      -86.3895
     0.557789      0.392798       0.61965   2.11296e-29      -86.4045
     0.562814      0.525076      0.633416   2.87529e-29      -86.3747
     0.567839      0.657361      0.647239   1.26182e-29      -86.2481
     0.572864      0.790085      0.661015  -4.38304e-31       -86.142
     0.577889      0.923907      0.674677  -5.79906e-30      -86.0873
     0.582915       1.05774      0.688361  -8.62036e-30      -85.9965
      0.58794       1.19162      0.702112  -4.02646e-30         -85.8
     0.592965       1.32589      0.715799   8.90427e-31      -85.6199
      0.59799       1.46154      0.729268   6.92306e-30      -85.4965
     0.603015       1.59721      0.742756   1.03918e-29      -85.3456
      0.60804       1.73297      0.756318   3.20007e-30      -85.0803
     0.613065       1.86905      0.769812  -4.00914e-30      -84.8271
      0.61809       2.00683      0.782953   -1.1308e-29      -84.6362
     0.623116       2.14464      0.796108  -1.67888e-29      -84.4264
     0.628141       2.28259      0.809357  -1.03822e-29      -84.0936
     0.633166       2.42077      0.822547  -5.26242e-30      -83.7685
     0.638191       2.56103      0.835214  -1.14654e-29      -83.5118
     0.643216       2.70129      0.847889  -1.67003e-29      -83.2449
     0.648241       2.84176      0.860665  -9.34957e-30      -82.8461
     0.653266       2.98233       0.87341  -2.62871e-30      -82.4505
     0.658291       3.12539      0.885424  -1.07108e-29      -82.1299
     0.663317       3.26846       0.89744   -1.8679e-29      -81.8079
     0.668342        3.4118      0.909589  -1.56056e-29      -81.3452
     0.673367       3.55514      0.921739  -1.25322e-29      -80.8825
     0.678392       3.70135      0.932945  -1.16325e-29      -80.4988
